City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Victor Harbor,-35.57,138.62,55.99,74,96,4.0,AU,10/23/20
Pisco,-13.7,-76.22,71.6,60,0,16.11,PE,10/23/20
Port Keats,-14.25,129.55,81.34,79,11,8.61,AU,10/23/20
Qinhuangdao,39.93,119.59,45.3,53,0,5.19,CN,10/23/20
Margate,51.38,1.39,54.0,83,46,1.99,GB,10/23/20
Grong,64.47,12.31,33.8,87,40,3.36,NO,10/23/20
Nouadhibou,20.93,-17.03,75.2,64,6,14.99,MR,10/23/20
Chui,-33.7,-53.46,71.26,79,80,4.7,UY,10/23/20
Chokurdakh,70.63,147.92,6.4,91,85,6.85,RU,10/23/20
Shirokiy,49.76,129.52,28.8,89,0,21.97,RU,10/23/20
Cayenne,4.93,-52.33,91.4,52,20,9.17,GF,10/23/20
Kalangala,-0.31,32.23,73.4,73,20,7.92,UG,10/23/20
Oriximiná,-1.77,-55.87,97.95,33,37,7.07,BR,10/23/20
Longyearbyen,78.22,15.64,17.6,78,20,3.36,SJ,10/23/20
Embonas,36.23,27.86,71.6,78,0,5.82,GR,10/23/20
Tasiilaq,65.61,-37.64,37.4,40,75,11.41,GL,10/23/20
Bathsheba,13.22,-59.52,87.8,66,40,24.16,BB,10/23/20
Pangnirtung,66.15,-65.71,26.6,92,90,2.24,CA,10/23/20
Sola,-13.88,167.55,77.0,94,75,4.7,VU,10/23/20
Faya,18.39,42.45,66.2,20,0,5.82,SA,10/23/20
Niwāri,28.88,77.53,82.99,49,0,3.87,IN,10/23/20
Assiniboia,49.63,-105.98,17.82,89,0,3.47,CA,10/23/20
Sirte,31.21,16.59,70.47,59,0,8.84,LY,10/23/20
Morondava,-20.28,44.28,77.14,84,32,9.04,MG,10/23/20
Busselton,-33.65,115.33,54.0,41,0,12.88,AU,10/23/20
Tiksi,71.69,128.87,19.78,97,100,8.93,RU,10/23/20
Dzaoudzi,-12.79,45.27,80.6,78,75,6.93,YT,10/23/20
Lüderitz,-26.65,15.16,60.89,79,0,4.41,NA,10/23/20
Hong Kong,22.29,114.16,75.0,33,100,10.0,HK,10/23/20
Ciudad del Maíz,22.4,-99.6,84.72,35,0,0.96,MX,10/23/20
Nizhniy Kuranakh,58.84,125.49,18.64,93,33,1.41,RU,10/23/20
Provideniya,64.38,-173.3,33.13,93,98,13.06,RU,10/23/20
Ushuaia,-54.8,-68.3,48.2,57,40,11.41,AR,10/23/20
